
duplicated: 213644,download: 124633 , rate: 1.714185 
duplicated: 213823,download: 124770 , rate: 1.713737 
duplicated: 213913,download: 124803 , rate: 1.714005 
duplicated: 214003,download: 124875 , rate: 1.713738 
duplicated: 214898,download: 125346 , rate: 1.714438 
duplicated: 215798,download: 125837 , rate: 1.714901 
duplicated: 216603,download: 126307 , rate: 1.714893 
duplicated: 217500,download: 126802 , rate: 1.715273 
duplicated: 218403,download: 127272 , rate: 1.716033 
duplicated: 219216,download: 127758 , rate: 1.715869 
duplicated: 220112,download: 128222 , rate: 1.716648 
duplicated: 221011,download: 128713 , rate: 1.717084 
duplicated: 221823,download: 129190 , rate: 1.717029 
duplicated: 222637,download: 129678 , rate: 1.716845 
duplicated: 223534,download: 130140 , rate: 1.717643 
duplicated: 224431,download: 130636 , rate: 1.717987 
duplicated: 225333,download: 131107 , rate: 1.718695 
duplicated: 226232,download: 131602 , rate: 1.719062 
duplicated: 227039,download: 132072 , rate: 1.719055 
duplicated: 228030,download: 132558 , rate: 1.720228 
duplicated: 228841,download: 133026 , rate: 1.720273 
duplicated: 229737,download: 133515 , rate: 1.720683 
duplicated: 230544,download: 133999 , rate: 1.720490 
duplicated: 231354,download: 134469 , rate: 1.720501 
duplicated: 232254,download: 134963 , rate: 1.720872 
duplicated: 233154,download: 135434 , rate: 1.721532 
duplicated: 234230,download: 135925 , rate: 1.723230 
duplicated: 235038,download: 136392 , rate: 1.723254 
duplicated: 236020,download: 136886 , rate: 1.724208 
duplicated: 236834,download: 137349 , rate: 1.724323 
duplicated: 237731,download: 137836 , rate: 1.724738 
duplicated: 238544,download: 138305 , rate: 1.724768 
duplicated: 239443,download: 138793 , rate: 1.725181 
duplicated: 240341,download: 139261 , rate: 1.725831 
duplicated: 241150,download: 139749 , rate: 1.725594 
duplicated: 242045,download: 140218 , rate: 1.726205 
duplicated: 242940,download: 140695 , rate: 1.726714 
duplicated: 243748,download: 141166 , rate: 1.726676 
duplicated: 244562,download: 141656 , rate: 1.726450 
duplicated: 245461,download: 142122 , rate: 1.727115 
duplicated: 246273,download: 142610 , rate: 1.726899 
duplicated: 247183,download: 143076 , rate: 1.727634 
duplicated: 248180,download: 143565 , rate: 1.728694 
duplicated: 248982,download: 144033 , rate: 1.728646 
duplicated: 249882,download: 144524 , rate: 1.729000 
duplicated: 250691,download: 144999 , rate: 1.728915 
duplicated: 251586,download: 145481 , rate: 1.729339 
duplicated: 252482,download: 145986 , rate: 1.729495 
duplicated: 253285,download: 146455 , rate: 1.729439 
duplicated: 254182,download: 146943 , rate: 1.729800 
duplicated: 254993,download: 147413 , rate: 1.729786 
duplicated: 255896,download: 147909 , rate: 1.730091 
duplicated: 256699,download: 148375 , rate: 1.730069 
duplicated: 257599,download: 148866 , rate: 1.730409 
duplicated: 258402,download: 149333 , rate: 1.730374 
duplicated: 259302,download: 149824 , rate: 1.730711 
duplicated: 260108,download: 150296 , rate: 1.730638 
duplicated: 260915,download: 150793 , rate: 1.730286 
duplicated: 261811,download: 151260 , rate: 1.730867 
duplicated: 262616,download: 151749 , rate: 1.730595 
duplicated: 263520,download: 152217 , rate: 1.731213 
duplicated: 264417,download: 152708 , rate: 1.731520 
duplicated: 265224,download: 153171 , rate: 1.731555 
duplicated: 266027,download: 153664 , rate: 1.731225 
duplicated: 266836,download: 154132 , rate: 1.731217 
duplicated: 267732,download: 154614 , rate: 1.731616 
duplicated: 268540,download: 155082 , rate: 1.731600 
duplicated: 269439,download: 155567 , rate: 1.731980 
duplicated: 270250,download: 156029 , rate: 1.732050 
duplicated: 271148,download: 156517 , rate: 1.732387 
duplicated: 272219,download: 156999 , rate: 1.733890 
duplicated: 273118,download: 157474 , rate: 1.734369 
duplicated: 273925,download: 157968 , rate: 1.734054 
duplicated: 274824,download: 158435 , rate: 1.734617 
duplicated: 275719,download: 158925 , rate: 1.734900 
duplicated: 276532,download: 159393 , rate: 1.734907 
duplicated: 277433,download: 159881 , rate: 1.735247 
duplicated: 278333,download: 160350 , rate: 1.735784 
duplicated: 279228,download: 160842 , rate: 1.736039 
duplicated: 280126,download: 161309 , rate: 1.736580 
duplicated: 281026,download: 161796 , rate: 1.736916 
duplicated: 281836,download: 162258 , rate: 1.736962 
duplicated: 282733,download: 162742 , rate: 1.737308 
duplicated: 283628,download: 163215 , rate: 1.737757 
duplicated: 284527,download: 163710 , rate: 1.737994 
duplicated: 285333,download: 164172 , rate: 1.738013 
duplicated: 286145,download: 164663 , rate: 1.737761 
duplicated: 287043,download: 165129 , rate: 1.738296 
duplicated: 287855,download: 165627 , rate: 1.737971 
duplicated: 288661,download: 166088 , rate: 1.738000 
duplicated: 289560,download: 166584 , rate: 1.738222 
duplicated: 290718,download: 167057 , rate: 1.740232 
duplicated: 291533,download: 167554 , rate: 1.739935 
duplicated: 292434,download: 168019 , rate: 1.740482 
duplicated: 293332,download: 168511 , rate: 1.740729 
duplicated: 294234,download: 168999 , rate: 1.741040 
duplicated: 295135,download: 169469 , rate: 1.741528 
duplicated: 296036,download: 169963 , rate: 1.741767 
duplicated: 296841,download: 170427 , rate: 1.741749 
duplicated: 297743,download: 170922 , rate: 1.741982 
duplicated: 298552,download: 171387 , rate: 1.741976 
duplicated: 299366,download: 171885 , rate: 1.741664 
duplicated: 300177,download: 172353 , rate: 1.741641 
duplicated: 300990,download: 172845 , rate: 1.741387 
duplicated: 301889,download: 173304 , rate: 1.741962 
duplicated: 302795,download: 173799 , rate: 1.742214 
duplicated: 303603,download: 174257 , rate: 1.742271 
duplicated: 304497,download: 174758 , rate: 1.742392 
duplicated: 305397,download: 175222 , rate: 1.742915 
duplicated: 306294,download: 175711 , rate: 1.743169 
duplicated: 307105,download: 176177 , rate: 1.743162 
duplicated: 307998,download: 176670 , rate: 1.743352 
duplicated: 308805,download: 177136 , rate: 1.743322 
duplicated: 309702,download: 177629 , rate: 1.743533 
duplicated: 310601,download: 178097 , rate: 1.743999 
duplicated: 311499,download: 178584 , rate: 1.744272 
duplicated: 312314,download: 179056 , rate: 1.744225 
duplicated: 313214,download: 179546 , rate: 1.744478 
duplicated: 314019,download: 180014 , rate: 1.744414 
duplicated: 314832,download: 180502 , rate: 1.744202 
duplicated: 315724,download: 180996 , rate: 1.744370 
duplicated: 316621,download: 181464 , rate: 1.744814 
duplicated: 317518,download: 181963 , rate: 1.744959 
duplicated: 318327,download: 182429 , rate: 1.744936 
duplicated: 319223,download: 182917 , rate: 1.745180 
duplicated: 320126,download: 183384 , rate: 1.745659 
duplicated: 321023,download: 183873 , rate: 1.745895 
duplicated: 321828,download: 184346 , rate: 1.745782 
duplicated: 322637,download: 184830 , rate: 1.745588 
duplicated: 323531,download: 185298 , rate: 1.746004 
duplicated: 324428,download: 185783 , rate: 1.746274 
duplicated: 325326,download: 186249 , rate: 1.746726 
duplicated: 326226,download: 186749 , rate: 1.746869 
duplicated: 327035,download: 187212 , rate: 1.746870 
duplicated: 327934,download: 187700 , rate: 1.747118 
duplicated: 328831,download: 188167 , rate: 1.747549 
duplicated: 329733,download: 188662 , rate: 1.747745 
duplicated: 330544,download: 189127 , rate: 1.747736 
duplicated: 331355,download: 189617 , rate: 1.747496 
duplicated: 332256,download: 190086 , rate: 1.747925 
duplicated: 333583,download: 190583 , rate: 1.750329 
duplicated: 334472,download: 191049 , rate: 1.750713 
duplicated: 335283,download: 191546 , rate: 1.750405 
duplicated: 336182,download: 192013 , rate: 1.750829 
